code,report_year,total_ai_sentences,innovation_sentences,risk_sentences,neutral_sentences,mixed_sentences,total_sentences_in_report,AI_Disclosure,AI_Innovation_Disclosure,AI_Risk_Disclosure,AI_Innovation_Ratio,AI_Risk_Ratio
000001,2022,90,68,7,14,1,2335,0.03854389721627409,0.0291220556745182,0.002997858672376874,0.7555555555555555,0.07777777777777778
000002,2019,7,3,0,4,0,1809,0.003869541182974019,0.001658374792703151,0.0,0.4285714285714285,0.0
000002,2020,9,2,1,6,0,1949,0.004617752693689072,0.001026167265264238,0.000513083632632119,0.2222222222222222,0.1111111111111111
000002,2021,18,9,1,8,0,1969,0.009141696292534281,0.004570848146267141,0.0005078720162519045,0.5,0.05555555555555555
000002,2022,11,4,2,5,0,1870,0.005882352941176471,0.00213903743315508,0.00106951871657754,0.3636363636363636,0.1818181818181818
000002,2023,12,5,1,6,0,1899,0.00631911532385466,0.002632964718272775,0.000526592943654555,0.4166666666666667,0.08333333333333333
000006,2020,1,1,0,0,0,1023,0.0009775171065493646,0.0009775171065493646,0.0,1.0,0.0
000007,2019,1,0,0,1,0,1295,0.0007722007722007722,0.0,0.0,0.0,0.0
000007,2020,1,0,0,1,0,1320,0.0007575757575757576,0.0,0.0,0.0,0.0
000007,2022,1,1,0,0,0,1276,0.0007836990595611285,0.0007836990595611285,0.0,1.0,0.0
000008,2019,52,46,0,6,0,1231,0.04224207961007311,0.03736799350121852,0.0,0.8846153846153846,0.0
000008,2020,26,22,2,2,0,1088,0.02389705882352941,0.02022058823529412,0.001838235294117647,0.8461538461538461,0.07692307692307693
000008,2021,18,15,1,2,0,1104,0.01630434782608696,0.01358695652173913,0.0009057971014492754,0.8333333333333334,0.05555555555555555
000008,2022,21,20,1,0,0,1079,0.01946246524559778,0.01853568118628359,0.0009267840593141798,0.9523809523809523,0.04761904761904762
000008,2023,6,3,1,2,0,1015,0.005911330049261084,0.002955665024630542,0.0009852216748768472,0.5,0.1666666666666667
000009,2019,6,3,2,1,0,1659,0.003616636528028933,0.001808318264014466,0.001205545509342978,0.5,0.3333333333333333
000009,2020,6,3,1,2,0,1756,0.003416856492027335,0.001708428246013667,0.0005694760820045558,0.5,0.1666666666666667
000009,2021,8,5,1,2,0,1667,0.004799040191961607,0.002999400119976005,0.0005998800239952009,0.625,0.125
000009,2022,10,9,1,0,0,1666,0.006002400960384154,0.005402160864345739,0.0006002400960384153,0.9,0.1
000009,2023,10,9,0,1,0,1703,0.005871990604815032,0.005284791544333529,0.0,0.9,0.0
000011,2019,5,2,0,3,0,1055,0.004739336492890996,0.001895734597156398,0.0,0.4,0.0
000011,2020,2,0,0,2,0,1087,0.001839926402943882,0.0,0.0,0.0,0.0
000011,2021,5,4,1,0,0,1206,0.004145936981757877,0.003316749585406302,0.0008291873963515755,0.8,0.2
000011,2022,6,4,0,1,1,1262,0.004754358161648178,0.003169572107765452,0.0,0.6666666666666666,0.0
000011,2023,5,4,0,1,0,1265,0.003952569169960474,0.003162055335968379,0.0,0.8,0.0
000012,2019,6,5,0,1,0,1193,0.005029337803855826,0.004191114836546521,0.0,0.8333333333333334,0.0
000012,2020,6,6,0,0,0,1232,0.00487012987012987,0.00487012987012987,0.0,1.0,0.0
000012,2021,11,11,0,0,0,1070,0.0102803738317757,0.0102803738317757,0.0,1.0,0.0
000012,2022,7,7,0,0,0,1118,0.006261180679785331,0.006261180679785331,0.0,1.0,0.0
000012,2023,8,7,0,1,0,1259,0.006354249404289118,0.005559968228752979,0.0,0.875,0.0
000014,2021,1,1,0,0,0,942,0.001061571125265393,0.001061571125265393,0.0,1.0,0.0
000014,2022,1,1,0,0,0,898,0.00111358574610245,0.00111358574610245,0.0,1.0,0.0
000014,2023,1,1,0,0,0,851,0.001175088131609871,0.001175088131609871,0.0,1.0,0.0
000017,2019,1,1,0,0,0,771,0.001297016861219196,0.001297016861219196,0.0,1.0,0.0
000017,2020,1,1,0,0,0,850,0.001176470588235294,0.001176470588235294,0.0,1.0,0.0
000017,2021,1,1,0,0,0,890,0.001123595505617978,0.001123595505617978,0.0,1.0,0.0
000017,2022,1,1,0,0,0,879,0.001137656427758817,0.001137656427758817,0.0,1.0,0.0
000017,2023,2,1,1,0,0,1049,0.001906577693040991,0.0009532888465204957,0.0009532888465204957,0.5,0.5
000019,2019,6,6,0,0,0,1321,0.004542013626040878,0.004542013626040878,0.0,1.0,0.0
000019,2020,9,7,0,2,0,1305,0.006896551724137931,0.005363984674329502,0.0,0.7777777777777778,0.0
000019,2021,6,5,0,1,0,1435,0.004181184668989547,0.003484320557491289,0.0,0.8333333333333334,0.0
000019,2022,6,4,0,1,1,1482,0.004048582995951417,0.002699055330634278,0.0,0.6666666666666666,0.0
000019,2023,4,3,0,1,0,1300,0.003076923076923077,0.002307692307692308,0.0,0.75,0.0
000020,2019,13,2,0,9,2,659,0.01972685887708649,0.003034901365705615,0.0,0.1538461538461539,0.0
000020,2020,13,4,0,9,0,645,0.02015503875968992,0.006201550387596899,0.0,0.3076923076923077,0.0
000020,2021,13,4,0,9,0,608,0.02138157894736842,0.006578947368421052,0.0,0.3076923076923077,0.0
000020,2022,17,4,3,10,0,648,0.02623456790123457,0.006172839506172839,0.004629629629629629,0.2352941176470588,0.1764705882352941
000020,2023,7,2,0,5,0,642,0.01090342679127726,0.003115264797507788,0.0,0.2857142857142857,0.0
000021,2019,14,10,1,3,0,1097,0.01276207839562443,0.009115770282588878,0.0009115770282588879,0.7142857142857143,0.07142857142857142
000021,2020,9,5,0,4,0,1166,0.007718696397941681,0.004288164665523156,0.0,0.5555555555555556,0.0
000021,2021,20,19,0,1,0,1237,0.01616814874696847,0.01535974130962005,0.0,0.95,0.0
000021,2022,21,10,0,10,1,1188,0.01767676767676768,0.008417508417508417,0.0,0.4761904761904762,0.0
000021,2023,23,12,0,10,1,1200,0.01916666666666667,0.01,0.0,0.5217391304347826,0.0
000025,2019,2,2,0,0,0,856,0.002336448598130841,0.002336448598130841,0.0,1.0,0.0
000025,2020,2,0,0,2,0,1107,0.001806684733514002,0.0,0.0,0.0,0.0
000025,2021,3,1,0,2,0,1189,0.002523128679562658,0.0008410428931875525,0.0,0.3333333333333333,0.0
000025,2022,4,2,1,1,0,1201,0.003330557868442964,0.001665278934221482,0.0008326394671107411,0.5,0.25
000025,2023,3,1,1,1,0,1099,0.00272975432211101,0.0009099181073703367,0.0009099181073703367,0.3333333333333333,0.3333333333333333
000026,2019,3,0,0,3,0,994,0.003018108651911469,0.0,0.0,0.0,0.0
000026,2020,7,0,0,7,0,1085,0.006451612903225806,0.0,0.0,0.0,0.0
000026,2021,4,0,0,4,0,1230,0.003252032520325203,0.0,0.0,0.0,0.0
000026,2022,2,0,0,2,0,1128,0.001773049645390071,0.0,0.0,0.0,0.0
000026,2023,3,1,0,2,0,1152,0.002604166666666667,0.0008680555555555555,0.0,0.3333333333333333,0.0
000027,2019,2,2,0,0,0,1527,0.001309757694826457,0.001309757694826457,0.0,1.0,0.0
000027,2020,1,1,0,0,0,1658,0.0006031363088057901,0.0006031363088057901,0.0,1.0,0.0
000027,2021,1,0,1,0,0,1755,0.0005698005698005698,0.0,0.0005698005698005698,0.0,1.0
000027,2022,9,7,2,0,0,1696,0.005306603773584905,0.004127358490566038,0.001179245283018868,0.7777777777777778,0.2222222222222222
000027,2023,11,9,2,0,0,1678,0.006555423122765197,0.005363528009535161,0.001191895113230036,0.8181818181818182,0.1818181818181818
000028,2019,2,1,0,1,0,1447,0.00138217000691085,0.000691085003455425,0.0,0.5,0.0
000028,2020,2,2,0,0,0,1471,0.001359619306594154,0.001359619306594154,0.0,1.0,0.0
000028,2021,7,7,0,0,0,1635,0.004281345565749235,0.004281345565749235,0.0,1.0,0.0
000028,2022,6,4,0,2,0,1600,0.00375,0.0025,0.0,0.6666666666666666,0.0
