code,disclosure_year,report_year,file_name,sentence_id,AI_sentence,matched_keywords,total_sentences_in_report,innovation_score,risk_score,label
000001,2023,2022,000001_2023_2022年年度报告.pdf,24,在零售，我们运用大数据、AI能力，打造“智能化银行3.0”，构建真正以客户为中心、数据驱动的经营体系，为大众客群提供更加专业、精准、有温度的金融服务,"AI,智能化,数据驱动",2335,1,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,27,在对公，我们通过科技化能力持续升级供应链金融，一是不断提升对公服务的线上化、智能化水平，让数据多跑路，让企业少跑路,智能化,2335,1,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,48,"2010年5月，本行原第一大股东NewbridgeAsiaAIVIII,L.P（.“新桥投资”）将其所持有的本行520,414,439股股份全部过户至中国平安名下",AI,2335,0,0,neutral
000001,2023,2022,000001_2023_2022年年度报告.pdf,88,9平安银行股份有限公司第一章公司简介2022年年度报告1.3发展战略及核心竞争力1.3.1本行发展战略本行以“中国最卓越、全球领先的智能化零售银行”为战略目标，坚持“科技引领、零售突破、对公做精”十二字策略方针，持续深化战略转型，着力打造“数字银行、生态银行、平台银行”三张名片，持续升级零售、对公、资金同业业务经营策略，深化全面数字化经营，重塑资产负债经营,智能化,2335,3,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,95,数据能力以数据驱动业务价值最大化为目标，以数据资产化管理提升基础数据管理水平，以数据中台建设提升数据服务水平，打造领先数据能力，为业务发展和经营管理提供强大的数据引擎,数据驱动,2335,0,0,neutral
000001,2023,2022,000001_2023_2022年年度报告.pdf,98,构建平台化数据能力，打造数据中台，强化数据服务能力，实现数据赋能，以数据驱动经营管理，实现“三预”（预防、预警、预测）、“三先”（先知、先觉、先行）、“三提”（提效益、提效率、提产能）、“三降”（降成本、降风险、降人力）,数据驱动,2335,1,1,mixed
000001,2023,2022,000001_2023_2022年年度报告.pdf,106,强化领先技术应用，深化物联网、区块链、人工智能、大数据等技术在金融领域的创新应用，推动经营管理数字化、智能化升级,"人工智能,智能化",2335,5,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,110,（2）零售突破本行深入推进零售业务转型升级，全面贯彻以开放银行、AI银行、远程银行、线下银行、综合化银行相互衔接并有机融合的零售转型新模式，不断强化科技引领，推动商业模式变革，打造零售“智能化银行3.0”1，积极践行金融服务实体经济、服务普惠民生的初心使命，为零售业务持续发展注入新动能,"AI,智能化",2335,1,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,114,打造零售转型新模式，进阶“智能化银行3.0”——本行以客户为中心、以数据为驱动，对零售业务发展战略及经营策略的组合创新和升级，打造零售转型新模式,智能化,2335,2,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,115,新模式包含开放银行、AI银行、远程银行、线下银行和综合化银行五个要素，要素之间相互衔接、融合，构成有机整体,AI,2335,0,0,neutral
000001,2023,2022,000001_2023_2022年年度报告.pdf,117,随身银行即“AI+T+Offline”（AI银行+远程银行+线下银行），是零售业务发展的经营链和服务网，1本行将零售转型划分为三个阶段，其中2016年末至2018年末为智能化银行1.0阶段，奠定了零售业务全面数字化的基础,"AI,智能化",2335,2,0,innovation
000001,2023,2022,000001_2023_2022年年度报告.pdf,118,2019年初至2020年末为智能化银行2.0阶段，以AIBank及开放银行建设作为战略重点，开启了全面数字化的进程,"AI,智能化",2335,2,0,innovation
