code,year,end_date,institution_id,industry_code,annual_report_ai_word_freq,annual_report_ai_sentence_freq,annual_report_total_sentences,annual_report_total_words,ai_disclosure_sentence_ratio,ai_disclosure_word_ratio,ai_sentence_per_1000_sentences,ai_word_per_1000_words,annual_trading_shares,float_market_value_thousand,total_market_value_thousand,annual_return_no_cash_dividend,investor_sentiment_proxy_log_trading_volume
000002,2020,2020-12-31,101775,K70,5,5,2893,82876,0.0017283097131005876,6.033109706066895e-05,1.7283097131005876,0.06033109706066895,19715359350,278893778.71,279084440.5,-0.076551,23.704663831398754
000002,2021,2021-12-31,101775,K70,9,9,2959,83022,0.003041568097330179,0.00010840500108405001,3.0415680973301793,0.10840500108405,21153574603,192018852.52,192150123.49,-0.267944,23.775074740167234
000002,2022,2022-12-31,101775,K70,6,6,2837,80362,0.0021149101163200562,7.466215375426196e-05,2.1149101163200563,0.07466215375426197,26099773690,176855965.47,176980376.9,-0.02955,23.985192480394556
000002,2023,2023-12-31,101775,K70,7,7,2768,67525,0.0025289017341040463,0.0001036653091447612,2.5289017341040463,0.1036653091447612,18076549082,101636339.07,101715095.74,-0.387912,23.61788130438948
000002,2024,2024-12-31,101775,K70,9,9,2888,80133,0.0031163434903047093,0.00011231327917337427,3.1163434903047094,0.11231327917337428,48797781340,70544954.38,70597666.83,-0.305927,24.61095068444821
000006,2020,2020-12-31,102296,K70,0,0,1792,45747,0.0,0.0,0.0,0.0,6303343460,7573472.21,7573472.21,0.080037,22.5643460376634
000006,2021,2021-12-31,102296,K70,0,0,1873,48888,0.0,0.0,0.0,0.0,2030101150,6020977.91,6020977.91,-0.170588,21.431351456837547
000006,2022,2022-12-31,102296,K70,0,0,1858,47794,0.0,0.0,0.0,0.0,8913058679,8504968.79,8504968.79,0.439686,22.910783305715192
000006,2023,2023-12-31,102296,K70,0,0,1841,45170,0.0,0.0,0.0,0.0,8964143154,6196442.15,6196477.26,-0.256508,22.916498362748648
000006,2024,2024-12-31,102296,K70,2,2,1840,44825,0.0010869565217391304,4.461795872838818e-05,1.0869565217391304,0.04461795872838818,9537921865,9881907.74,9881963.74,0.594771,22.978541464924767
000007,2020,2020-12-31,102313,K70,0,0,2127,51522,0.0,0.0,0.0,0.0,1563110440,2153367.87,2414742.87,-0.266316,21.169943545518397
000007,2021,2021-12-31,102313,K70,0,0,1969,45626,0.0,0.0,0.0,0.0,4102085669,1881493.59,2109868.59,-0.126255,22.134761381312693
000007,2022,2022-12-31,102313,K70,0,0,1993,49803,0.0,0.0,0.0,0.0,2348729777,2403615.78,2695365.78,0.277504,21.577140498968884
000007,2023,2023-12-31,102313,K70,0,0,2097,49510,0.0,0.0,0.0,0.0,821667887,1504576.97,1687201.97,-0.374036,20.526846842181588
000007,2024,2024-12-31,102313,K70,0,0,1992,48059,0.0,0.0,0.0,0.0,1541080400,2435529.75,2435529.75,0.443532,21.15574956648532
000008,2020,2020-12-31,102314,C37,4,4,2235,53374,0.0017897091722595079,7.494285607224491e-05,1.789709172259508,0.07494285607224492,6291104061,6769650.39,7063220.18,-0.297521,22.562402418805856
000008,2021,2021-12-31,102314,C37,6,6,2266,54472,0.00264783759929391,0.00011014833308855926,2.64783759929391,0.11014833308855926,5897295546,7919721.32,8175538.32,0.15748,22.497759700904595
000008,2022,2022-12-31,102314,C37,3,3,2098,51661,0.0014299332697807435,5.807088519385997e-05,1.4299332697807434,0.058070885193859965,9762804948,6197330.94,6395829.3,-0.217687,23.001845588397725
000008,2023,2023-12-31,102314,C37,0,0,2018,49134,0.0,0.0,0.0,0.0,5964155901,6340551.76,6410651.33,0.026087,22.509033374016973
000008,2024,2024-12-31,102314,C37,1,1,1925,48041,0.0005194805194805195,2.0815553381486647e-05,0.5194805194805194,0.02081555338148665,16014392070,7789470.66,7877495.28,0.228814,23.49675365931201
000009,2020,2020-12-31,102336,S90,0,0,2705,77669,0.0,0.0,0.0,0.0,21270070633,19212270.34,19421481.16,0.219709,23.7805667869805
000009,2021,2021-12-31,102336,S90,0,0,2622,74793,0.0,0.0,0.0,0.0,22907816700,36817139.58,37218057.51,0.920319,23.85474402991816
