code,year,end_date,institution_id,industry_code,annual_report_ai_word_freq,annual_report_ai_sentence_freq,annual_report_total_sentences,annual_report_total_words,ai_disclosure_sentence_ratio,ai_disclosure_word_ratio,ai_sentence_per_1000_sentences,ai_word_per_1000_words,annual_trading_shares,float_market_value_thousand,total_market_value_thousand,annual_return_no_cash_dividend,investor_sentiment_proxy_log_trading_volume,report_year,Size,Lev,ROA,Growth,CashRatio,TobinQ,ListAge,Board,Indep,Dual,Top1,SOE
603708,2020,2020-12-31,10135160,F52,3,3,2791,56441,0.0010748835542816,5.315284987863433e-05,1.0748835542816195,0.0531528498786343,1274907428,12958931.72,12958931.72,-0.104355,20.96613940821507,2020,23.00546968012497,0.6710838519937459,0.043952,0.092684,0.33565,1.99366,1.6094379124341005,1.9459101490553132,0.4285714285714285,1.0,0.586404,0.0
603103,2021,2021-12-31,10380969,R86,1,1,2464,47827,0.0004058441558441,2.090869174315763e-05,0.4058441558441559,0.0209086917431576,663666461,8377782.0,8377782.0,-0.299204,20.31329026497257,2021,22.419695916363963,0.726509559839417,0.00304,1.511092,0.281046,2.262466,1.6094379124341005,2.0794415416798357,0.5,0.0,0.739844,0.0
002466,2022,2022-12-31,101938,C32,1,1,3525,92544,0.0002836879432624,1.080567081604426e-05,0.2836879432624113,0.0108056708160442,11986642393,116477485.03,116676080.26,-0.261776,23.20705873290748,2022,24.983781290458076,0.2509472132907983,0.2384,1.835783,1.626708,1.971083,2.5649493574615367,2.0794415416798357,0.5,0.0,0.2536629999999999,0.0
301197,2023,2023-12-31,10372442,I65,25,20,2793,63540,0.0071607590404582,0.000393452943028,7.160759040458289,0.3934529430280138,346135397,1525992.27,2264946.6,-0.078087,19.66234058017427,2023,21.24049990657697,0.1914860001090811,0.035549,0.145418,1.992273,1.365016,0.6931471805599453,2.5649493574615367,0.3846153846153846,0.0,0.124108,0.0
002184,2022,2022-12-31,102606,C38,10,10,2743,60979,0.0036456434560699,0.0001639908821069,3.6456434560699966,0.1639908821069548,1967337931,2752130.51,4032869.92,-0.184615,21.399947162309022,2022,21.864164389185405,0.5047707386668923,0.058102,0.086189,0.273035,1.541436,2.772588722239781,1.9459101490553132,0.4285714285714285,0.0,0.218383,0.0
000529,2024,2024-12-31,101772,C13,1,1,2970,62774,0.0003367003367003,1.593016216905088e-05,0.3367003367003367,0.0159301621690508,2400450778,3362317.82,3444362.95,-0.108984,21.598922381246815,2024,22.556597494502565,0.486055878086708,0.018643,-0.162947,0.881683,1.035866,3.4657359027997265,2.0794415416798357,0.5,0.0,0.546065,1.0
605258,2020,2020-12-31,10402590,C39,3,3,2321,43182,0.0012925463162429,6.947339169098236e-05,1.2925463162429986,0.0694733916909823,96312244,803660.0,3214640.0,,18.383106023409695,2020,21.0351084086194,0.1939744308606651,0.08795,0.135427,1.31685,1.38685,0.0,1.9459101490553132,0.4285714285714285,0.0,0.178977,0.0
603107,2023,2023-12-31,10494518,C36,0,0,2710,49892,0.0,0.0,0.0,0.0,644210566,1922347.36,7846412.1,,20.283536198017742,2023,21.76345951346519,0.2918971770159887,0.07278,0.166425,1.664801,1.505848,0.0,2.302585092994046,0.3,0.0,0.33177,1.0
600706,2022,2022-12-31,106299,N78,0,0,2636,58619,0.0,0.0,0.0,0.0,4969015812,3388762.67,3402497.53,0.84509,22.32648763189198,2022,22.018008846250947,0.7243731956728818,-0.072383,-0.347466,0.08704,1.653899,3.295836866004329,2.3978952727983707,0.2727272727272727,0.0,0.448958,1.0
603385,2023,2023-12-31,10145518,C30,16,12,3337,68241,0.0035960443512136,0.0002344631526501,3.596044351213665,0.2344631526501663,609875218,3057587.6,3057587.6,0.168732,20.22876493519019,2023,22.488711208795426,0.3435567068011848,-0.033821,0.053828,0.089945,0.866742,1.9459101490553132,2.1972245773362196,0.3333333333333333,0.0,0.175474,0.0
